City,Latitude,Longitude
Bengaluru,12.98815675,77.62260003796
Chennai,13.0836939,80.270186
Gurugram,28.4646148,77.0299194
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Gurugram,28.4646148,77.0299194
Hyderabad,17.360589,78.4740613
Haryana,29.0,76.0
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Greater Kolkata Area,,
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Mumbai,19.0785451,72.878176
Pune,18.521428,73.8544541
Ahmedabad,23.0216238,72.5797068
Bengaluru,12.98815675,77.62260003796
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Pune,18.521428,73.8544541
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Delhi Cantonment,28.5888565,77.132399
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Chennai,13.0836939,80.270186
Hyderabad,17.360589,78.4740613
Bengaluru,12.98815675,77.62260003796
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Peerancheru,,
Hyderabad,17.360589,78.4740613
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Gurugram,28.4646148,77.0299194
Bengaluru,12.98815675,77.62260003796
Mumbai,19.0785451,72.878176
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Pune,18.521428,73.8544541
Chandigarh,30.72984395,76.78414567016054
Hyderabad,17.360589,78.4740613
Greater Kolkata Area,,
Greater Bengaluru Area,,
Bengaluru,12.98815675,77.62260003796
Tondiarpet,13.1277669,80.2895845
Hyderabad,17.360589,78.4740613
Bhubaneswar,20.2602964,85.8394521
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Bengaluru,12.98815675,77.62260003796
Greater Bengaluru Area,,
Pune,18.521428,73.8544541
Gurgaon,28.4646148,77.0299194
Bengaluru East,13.0011462,77.6183453
Chennai,13.0836939,80.270186
Bengaluru,12.98815675,77.62260003796
Navi Mumbai,19.0308262,73.0198537
Gurgaon,28.4646148,77.0299194
Kolkata,22.5726459,88.3638953
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Mysore,12.3051828,76.6553609
Cuttack,20.4686,85.8792
Aurangabad,19.877263,75.3390241
Navi Mumbai,19.0308262,73.0198537
Chennai,13.0836939,80.270186
Bengaluru,12.98815675,77.62260003796
Navi Mumbai,19.0308262,73.0198537
Gurgaon,28.4646148,77.0299194
Mumbai,19.0785451,72.878176
Noida,28.5706333,77.3272147
Nagpur,21.1498134,79.0820556
Nashik,20.0112475,73.7902364
Mumbai,19.0785451,72.878176
Kochi,9.9674277,76.2454436
Hyderabad,17.360589,78.4740613
